sample_id,file_name,embedding_index
ID_YRBMHS,ID_YRBMHS.fastq,0
ID_ZFLLRC,ID_ZFLLRC.fastq,1
ID_SXEXXN,ID_SXEXXN.fastq,2
ID_SFZPRU,ID_SFZPRU.fastq,3
ID_RDNMJI,ID_RDNMJI.fastq,4
ID_VCIIWK,ID_VCIIWK.fastq,5
ID_YEAVHZ,ID_YEAVHZ.fastq,6
ID_TOCSQB,ID_TOCSQB.fastq,7
ID_SWLMOF,ID_SWLMOF.fastq,8
ID_VOLMYA,ID_VOLMYA.fastq,9
ID_UTHDNL,ID_UTHDNL.fastq,10
ID_ZGURGG,ID_ZGURGG.fastq,11
ID_WXJZUE,ID_WXJZUE.fastq,12
ID_TBRUSV,ID_TBRUSV.fastq,13
ID_XZIPUY,ID_XZIPUY.fastq,14
ID_TNTXIE,ID_TNTXIE.fastq,15
ID_WRNTKU,ID_WRNTKU.fastq,16
ID_SRJXWI,ID_SRJXWI.fastq,17
ID_XTPJKT,ID_XTPJKT.fastq,18
ID_TOQKGI,ID_TOQKGI.fastq,19
ID_ZULNRB,ID_ZULNRB.fastq,20
ID_RHSTAT,ID_RHSTAT.fastq,21
ID_WZQPFI,ID_WZQPFI.fastq,22
ID_SIVONK,ID_SIVONK.fastq,23
ID_VFOMLC,ID_VFOMLC.fastq,24
ID_SXHPIN,ID_SXHPIN.fastq,25
ID_TULYBL,ID_TULYBL.fastq,26
ID_TNLFMD,ID_TNLFMD.fastq,27
ID_TIGKMZ,ID_TIGKMZ.fastq,28
ID_RCWKPT,ID_RCWKPT.fastq,29
ID_QHDXZP,ID_QHDXZP.fastq,30
ID_ZISBMF,ID_ZISBMF.fastq,31
ID_SMNCUV,ID_SMNCUV.fastq,32
ID_VSLBOO,ID_VSLBOO.fastq,33
ID_QVBIRG,ID_QVBIRG.fastq,34
ID_XALKPS,ID_XALKPS.fastq,35
ID_UYEVEU,ID_UYEVEU.fastq,36
ID_WMCAAZ,ID_WMCAAZ.fastq,37
ID_ZDZVRI,ID_ZDZVRI.fastq,38
ID_RDXXEO,ID_RDXXEO.fastq,39
ID_RWPVQO,ID_RWPVQO.fastq,40
ID_ZSFGYA,ID_ZSFGYA.fastq,41
ID_QHQQQL,ID_QHQQQL.fastq,42
ID_WDZKQB,ID_WDZKQB.fastq,43
ID_VEBOUR,ID_VEBOUR.fastq,44
ID_RDUOOS,ID_RDUOOS.fastq,45
ID_WPLXZS,ID_WPLXZS.fastq,46
ID_ZPAQEL,ID_ZPAQEL.fastq,47
ID_QSRJZS,ID_QSRJZS.fastq,48
ID_UWKYTM,ID_UWKYTM.fastq,49
ID_XFVKMF,ID_XFVKMF.fastq,50
ID_ZEQHCB,ID_ZEQHCB.fastq,51
ID_WFFCTH,ID_WFFCTH.fastq,52
ID_RDENRF,ID_RDENRF.fastq,53
ID_VOKBOD,ID_VOKBOD.fastq,54
ID_ZKKANZ,ID_ZKKANZ.fastq,55
ID_TGIKMF,ID_TGIKMF.fastq,56
ID_XHAOGA,ID_XHAOGA.fastq,57
ID_UYQFMS,ID_UYQFMS.fastq,58
ID_TPTUPI,ID_TPTUPI.fastq,59
ID_RWSTLK,ID_RWSTLK.fastq,60
ID_YIIRKN,ID_YIIRKN.fastq,61
ID_YCHBHI,ID_YCHBHI.fastq,62
ID_TDCEGY,ID_TDCEGY.fastq,63
ID_WJKMFY,ID_WJKMFY.fastq,64
ID_UEUQYN,ID_UEUQYN.fastq,65
ID_TUENGT,ID_TUENGT.fastq,66
ID_RRMPTN,ID_RRMPTN.fastq,67
ID_RQREXW,ID_RQREXW.fastq,68
ID_UBXJDL,ID_UBXJDL.fastq,69
ID_XILZHA,ID_XILZHA.fastq,70
ID_YZRYLC,ID_YZRYLC.fastq,71
ID_RYEIDA,ID_RYEIDA.fastq,72
ID_ZWOUUE,ID_ZWOUUE.fastq,73
ID_ZJTFNK,ID_ZJTFNK.fastq,74
ID_YTHITE,ID_YTHITE.fastq,75
ID_UNQBCN,ID_UNQBCN.fastq,76
ID_XZGDUV,ID_XZGDUV.fastq,77
ID_RZFUPQ,ID_RZFUPQ.fastq,78
ID_SLNNBW,ID_SLNNBW.fastq,79
ID_QSUXQD,ID_QSUXQD.fastq,80
ID_SEGDUI,ID_SEGDUI.fastq,81
ID_ROSKAG,ID_ROSKAG.fastq,82
ID_WQXVVJ,ID_WQXVVJ.fastq,83
ID_XTVRPM,ID_XTVRPM.fastq,84
ID_RCAPFX,ID_RCAPFX.fastq,85
ID_SQAHCR,ID_SQAHCR.fastq,86
ID_RYZACL,ID_RYZACL.fastq,87
ID_TRPFKC,ID_TRPFKC.fastq,88
ID_RDOKQQ,ID_RDOKQQ.fastq,89
ID_SVBOSI,ID_SVBOSI.fastq,90
ID_WHXYJX,ID_WHXYJX.fastq,91
ID_UDNNRV,ID_UDNNRV.fastq,92
ID_VOSHTK,ID_VOSHTK.fastq,93
ID_UCZYVP,ID_UCZYVP.fastq,94
ID_SALDWX,ID_SALDWX.fastq,95
ID_VAAWYS,ID_VAAWYS.fastq,96
ID_WSSRQD,ID_WSSRQD.fastq,97
ID_WWCKGV,ID_WWCKGV.fastq,98
ID_UIEOVS,ID_UIEOVS.fastq,99
