sample_id,cluster,umap_1,umap_2
0,6,2.6270804,3.8623412
1,0,-4.34673,6.6597285
2,6,1.3690178,4.7183485
3,4,9.742101,4.277297
4,4,9.649657,4.57128
5,4,9.392467,4.4615636
6,10,13.017369,0.53117394
7,6,1.3349406,4.8042183
8,-1,12.834329,-1.4494152
9,9,13.628393,-0.8653304
10,4,9.242958,4.686368
11,6,3.1835356,3.564622
12,10,12.283505,1.1501504
13,6,1.3879931,3.7700336
14,4,9.354176,4.880978
15,10,13.671911,1.3881505
16,-1,12.021629,0.9625212
17,3,11.3745,4.491547
18,10,13.368038,1.2092457
19,2,11.415273,10.202888
20,7,-1.1671449,2.9012177
21,5,11.3188715,-0.29761857
22,0,-3.1956987,6.261522
23,1,8.564057,10.417184
24,0,-3.9082332,6.237613
25,10,12.815106,1.6434927
26,8,-0.11274662,1.893685
27,2,11.223753,10.327437
28,7,-0.9896392,3.8436565
29,-1,12.210568,1.073326
30,6,1.8877418,3.4850924
31,6,1.8060085,3.7760637
32,-1,12.686224,0.3216204
33,10,13.941333,1.148882
34,7,-1.2290126,3.272439
35,10,13.607589,0.9937014
36,9,13.571521,-0.3350817
37,2,11.8652,10.211798
38,7,-1.2371627,4.0665874
39,6,1.4459848,4.324034
40,6,3.298017,3.4721203
41,0,-3.9855964,6.067127
42,6,3.5455146,3.3287578
43,0,-3.377584,6.650668
44,5,11.075102,-0.9705283
45,0,-4.1355944,5.9410467
46,6,1.8505251,3.3098872
47,10,13.297167,-0.02863237
48,9,14.270866,-1.4064159
49,0,-3.6232152,6.8614483
50,0,-3.5762963,6.5068965
51,6,1.3808374,4.7050824
52,10,13.774471,1.1609508
53,0,-3.7618082,6.0153127
54,10,13.497536,1.9314947
55,0,-4.339007,6.378144
56,6,1.3360142,2.9248638
57,0,-4.178311,5.74931
58,6,1.862551,3.8546162
59,4,9.9335,4.452979
60,6,3.2419736,2.8222473
61,3,11.553502,4.191835
62,9,13.473823,-1.332529
63,6,1.3982133,4.7304697
64,6,3.445007,3.1689894
65,8,-0.07779046,1.9263194
66,7,-1.2193743,3.2633176
67,5,11.980095,-0.7010001
68,7,-1.2297479,2.9709945
69,2,11.175604,10.200592
70,5,11.230751,-0.8883701
71,7,-1.1333638,2.8833222
72,10,12.891706,1.0955095
73,10,13.883533,0.94951457
74,6,3.2664387,2.9819143
75,1,8.667385,10.177086
76,2,11.256538,10.158867
77,10,13.498548,1.3583151
78,6,1.4651442,4.665037
79,2,12.085821,10.023686
80,7,-1.3562487,3.149155
81,10,13.796564,1.1089144
82,0,-3.307803,6.628278
83,4,9.927064,4.6857285
84,-1,1.0985006,2.287108
85,5,11.353804,-0.29534084
86,4,9.437938,4.4492807
87,7,-1.444492,4.3564262
88,10,13.899704,1.0574718
89,0,-3.2409823,6.6010046
90,10,13.45523,1.2369449
91,-1,-0.6131211,2.5478172
92,5,11.093131,-0.9061226
93,9,13.459671,-1.41037
94,8,1.2649003,1.4593605
95,6,3.3159134,2.787898
96,1,8.558929,10.329463
97,9,13.674858,-1.4097042
98,9,13.582473,-1.50549
99,6,1.9717985,3.3965752
100,10,13.433125,0.33171967
101,10,13.7473755,0.17280008
102,6,2.3551664,3.514855
103,6,1.5398071,4.5661397
104,0,-3.9453213,6.155688
105,2,11.713757,9.536364
106,1,8.467309,10.649228
107,10,13.540234,1.211887
108,6,2.9984643,2.8630686
109,9,13.628241,-1.3041514
110,2,11.2148485,10.419403
111,7,-1.3637006,2.584249
112,4,9.831917,4.347988
113,9,13.523545,-1.3689207
114,10,13.096409,0.5409697
115,10,13.132658,1.6703908
116,1,8.370916,10.542456
117,4,10.12695,4.556352
118,0,-4.0684295,6.6216006
119,0,-3.710331,6.81683
120,-1,13.599644,-0.55294377
121,6,3.325167,3.403106
122,4,9.990673,4.7813435
123,5,11.205291,-0.96056443
124,10,13.257452,1.0713936
125,0,-3.3376937,6.207658
126,10,12.927144,0.8638705
127,4,9.35519,4.5802026
128,6,1.4587394,3.0297713
129,8,1.2537285,1.6614779
130,0,-3.2449403,6.3244348
131,0,-4.500555,6.1907363
132,10,13.293091,0.21295796
133,7,-0.78815335,4.8858986
134,10,13.76873,0.43346724
135,4,10.129205,4.6105556
136,0,-3.8442936,5.9769297
137,6,1.3342295,4.772249
138,5,11.373889,-0.23013666
139,4,10.24112,4.469471
140,9,13.535841,-1.1819264
141,0,-3.4780354,6.760478
142,5,11.55256,-0.8328415
143,1,8.735325,10.280315
144,3,11.512906,4.3539844
145,1,9.138956,9.987772
146,2,11.206168,10.276429
147,8,1.295894,1.4558312
148,10,13.327253,0.6409588
149,0,-3.9415216,6.6435833
150,6,1.325644,2.884387
151,2,11.298955,10.324573
152,0,-4.088516,6.157171
153,10,13.343314,0.7246645
154,9,13.535751,-1.5018239
155,0,-3.7904575,6.9061775
156,-1,0.3375091,4.2326183
157,1,8.57485,10.265644
158,5,11.683742,-1.1664804
159,2,11.128518,9.432109
160,10,13.470184,1.4108595
161,2,11.672329,9.388742
162,10,13.238043,0.15371439
163,0,-3.4807143,6.0899005
164,4,9.451759,4.529144
165,-1,0.4487294,2.9571953
166,3,11.423829,4.4762526
167,10,13.543138,0.6485
168,4,9.875369,4.386292
169,6,3.2073572,3.1626105
170,3,11.215812,4.447156
171,6,1.3630116,4.7939734
172,6,1.457759,4.5373063
173,7,-1.2085204,2.844832
174,0,-4.076454,5.6561046
175,5,11.919779,-0.6805611
176,0,-3.4341342,6.149988
177,6,1.1062491,3.2109766
178,3,11.188064,4.4362335
179,2,11.825067,9.991813
180,7,-1.1704104,2.8358107
181,0,-3.6943371,6.836174
182,1,8.647024,10.257506
183,2,12.022013,9.906447
184,4,10.157565,4.822572
185,0,-4.576225,6.634293
186,8,1.1182915,1.5875171
187,1,8.544174,10.279727
188,6,3.4367118,3.270556
189,2,11.778597,9.619227
190,6,2.5414758,3.8354974
191,7,-0.7702531,4.8586774
192,0,-3.790803,6.6644917
193,10,13.961586,1.1439986
194,0,-3.5586402,7.0085764
195,6,1.85197,3.1573596
196,9,13.389771,-1.4771004
197,6,3.551926,3.339569
198,5,11.7095585,-0.9429123
199,1,8.544576,10.284682
200,6,2.4608326,3.9355178
201,0,-4.3553653,6.0436077
202,10,13.930428,0.25703993
203,6,3.2262487,2.8143034
204,5,12.058338,-0.7956592
205,-1,10.550412,1.6381992
206,-1,10.772675,5.8465586
207,10,13.151729,0.70187587
208,2,11.9952965,10.052942
209,2,11.812472,10.176967
210,0,-3.2151084,6.5627494
211,7,-1.443383,4.4274735
212,4,10.082325,4.7554984
213,2,11.259132,10.269172
214,6,1.9948156,3.3374655
215,9,13.437759,-1.2928447
216,-1,10.775761,5.8513427
217,2,11.302132,10.327262
218,0,-3.340159,7.093592
219,10,13.010796,0.9854982
220,9,13.455367,-1.5819412
221,7,-0.80506015,2.6224914
222,0,-4.3766794,6.027461
223,2,11.157532,10.279474
224,0,-3.2481163,6.5962105
225,9,13.493022,-1.2389385
226,10,13.589383,1.9176439
227,0,-4.4042997,6.336454
228,8,1.3441749,1.4163201
229,2,12.167134,10.00925
230,9,13.529738,-1.0888555
231,6,3.112926,3.017993
232,2,10.091037,9.455974
233,2,11.271529,10.133995
234,7,-1.189253,4.144146
235,10,13.364646,0.7332539
236,5,11.68757,-1.2110823
237,9,13.5954275,-1.4601645
238,10,13.959215,1.1367472
239,10,12.744819,2.062988
240,5,11.59438,-1.1698176
241,2,11.362511,10.204337
242,10,12.709452,1.0939678
243,10,13.680426,1.5780349
244,10,12.9762335,0.21033452
245,7,-0.7420296,4.8809867
246,6,3.482507,3.2778785
247,4,10.208732,4.430669
248,5,11.232664,-0.82577664
249,10,13.143828,0.5958237
250,9,13.504288,-1.4230424
251,10,13.855423,0.325169
252,2,11.095158,10.330339
253,7,-1.4615419,3.0131123
254,9,13.056744,-1.4187733
255,10,13.084719,0.69133586
256,6,1.2118092,3.641971
257,0,-3.6745033,5.9548736
258,0,-4.062506,6.44233
259,8,1.1052705,1.5164193
260,4,9.6294155,4.591144
261,-1,10.589948,1.5883858
262,10,13.138794,0.57763344
263,6,2.6345701,3.830833
264,8,1.3313067,1.4265418
265,6,1.776277,4.2814794
266,9,13.128952,-1.2673199
267,4,9.737995,4.644743
268,5,11.171581,-0.99815995
269,6,1.4124098,4.6257358
270,0,-4.4840264,5.900638
271,1,8.683911,10.177248
272,0,-3.843513,6.3536696
273,7,-1.3961558,4.0752664
274,2,12.127399,10.080025
275,-1,12.66116,0.31354252
276,6,1.8830159,3.525158
277,10,13.636247,0.85101724
278,-1,0.8147309,3.736465
279,2,11.047965,9.404166
280,3,11.370413,4.400221
281,9,13.287562,-1.3046947
282,-1,10.577955,1.6095258
283,7,-1.233346,3.2834926
284,4,10.163221,4.3598866
285,6,1.7572501,3.5942454
286,1,8.489313,10.398509
287,2,11.109818,9.484375
288,0,-4.3541064,6.3977137
289,9,13.427231,-1.1584114
290,0,-4.1077147,6.5421996
291,6,1.5483606,3.4224458
292,0,-3.2592828,6.3843527
293,6,2.4883015,2.9001994
294,-1,-0.14059548,3.3953378
295,7,-1.4822552,3.0233228
296,7,-0.789943,4.913653
297,10,13.591233,1.4456847
298,1,8.453859,10.4616995
299,6,1.3415654,2.959709
300,9,13.584106,-1.4522952
301,2,11.309693,10.400317
302,6,2.8983796,3.0165796
303,2,11.384447,10.089836
304,6,2.2044961,3.2754354
305,5,11.212787,-0.977758
306,6,1.748279,4.200739
307,0,-4.4796286,5.980761
308,1,8.362633,10.173786
309,5,11.153637,-0.8478316
310,-1,-1.8420315,4.3187346
311,10,12.93361,1.6515083
312,0,-4.16599,6.574712
313,2,12.132934,9.932963
314,0,-3.330382,6.493372
315,4,9.445096,4.6591616
316,7,-1.4026023,2.7611976
317,6,1.3312691,2.9333503
318,9,13.644984,-1.0492897
319,5,11.645123,-1.155876
320,7,-1.221818,2.8531318
321,6,1.8425393,3.9110818
322,0,-3.9837475,5.6591043
323,6,1.2250334,2.975828
324,6,2.6425776,3.826896
325,8,-0.09303331,1.8585505
326,7,-1.5960517,3.0907817
327,5,11.133788,-0.9204249
328,10,12.33453,1.0880773
329,2,11.475785,9.899583
330,2,10.177444,9.780443
331,10,12.713007,1.2603981
332,10,13.64244,-0.074727625
333,10,13.971826,0.81434745
334,0,-3.3489268,6.562235
335,7,-1.1530166,3.0114312
336,4,9.896533,4.5700274
337,2,11.319218,10.264966
338,2,12.100797,9.921326
339,10,13.667303,0.75519735
340,4,9.935635,4.8599887
341,2,11.890971,9.577628
342,2,10.959464,10.017186
343,10,13.373828,0.62800837
344,8,-0.117068805,1.9823979
345,6,1.9516408,3.704104
346,5,11.4603615,-0.33530033
347,8,1.1116871,1.484175
348,7,-0.8332681,4.788459
349,-1,0.24820761,4.2774568
350,8,-0.024445476,1.9442703
351,9,13.588391,-1.4020807
352,7,-1.1046685,4.0769687
353,0,-3.689593,6.414088
354,4,9.224471,4.774752
355,0,-3.8387227,6.770396
356,0,-3.5012686,6.6491556
357,9,13.593328,-1.274881
358,10,13.310345,0.15947768
359,5,11.125377,-0.90267456
360,6,2.754688,3.22213
361,10,13.889965,0.3568078
362,0,-4.206038,6.004743
363,10,13.89384,1.0998489
